Key,Description,Standard,Chinese,TraditionalChinese,English
SAY.chapterFlow04.4831.旁白,,剪刀怪：住嘴！不许说我的头！,剪刀怪：住嘴！不许说我的头！,剪刀怪：住嘴！不許說我的頭！,Scissor Monster: Shush! Don't make fun of my hair!
SAY.chapterFlow04.5018.旁白,,剪刀怪：你乖乖投降，今天就饶你一命！,剪刀怪：你乖乖投降，今天就饶你一命！,剪刀怪：你乖乖投降，今天就饒你一命！,Scissor Monster: If you surrender， I'll let you live!
SAY.chapterFlow04.4832.旁白,,威风女侠：要投降的是你！,威风女侠：要投降的是你！,威風女俠：要投降的是你！,Mighty Heroine: The one who should surrender is you!
SAY.chapterFlow04.4833.旁白,,威风女侠：不然我就不客气啦！,威风女侠：不然我就不客气啦！,威風女俠：不然我就不客氣啦！,Mighty Heroine: If you don't， I won't go easy on you!
SAY.chapterFlow04.4834.旁白,,剪刀怪：哼！敬酒不吃吃罚酒！,剪刀怪：哼！敬酒不吃吃罚酒！,剪刀怪：哼！敬酒不吃吃罰酒！,Scissor Monster: Hmph! You want to do th is the hard way? fine!
SAY.chapterFlow04.4838.旁白,,要使用什么招式呢？,要使用什么招式呢？,要使用什麼招式呢？,What move do you want to use?
SAY.chapterFlow04.4846.旁白,,剪刀怪使用了,剪刀怪使用了,剪刀怪使用了,Scissor Monster Uses
SAY.chapterFlow04.4847.旁白,,啾啾光线！,啾啾光线！,啾啾光線！,Pew Pew Laser Beam!
SAY.chapterFlow04.4848.旁白,,啾！,啾！,啾！,Pew!
SAY.chapterFlow04.4857.旁白,,剪刀怪使用了,剪刀怪使用了,剪刀怪使用了,Scissor Monster Uses
SAY.chapterFlow04.4858.旁白,,嗡嗡声波！,嗡嗡声波！,嗡嗡聲波！,Bang Bang Sound Wave!
SAY.chapterFlow04.4859.旁白,,嗡，嗡嗡嗡！,嗡，嗡嗡嗡！,嗡，嗡嗡嗡！,Bang， Bang bang bang!
SAY.chapterFlow04.4868.旁白,,剪刀怪使用了,剪刀怪使用了,剪刀怪使用了,Scissor Monster Uses
SAY.chapterFlow04.4869.旁白,,咔嚓剪刀,咔嚓剪刀,哢嚓剪刀,Snip Snip Scissors!
SAY.chapterFlow04.4870.旁白,,咔嚓，咔嚓！,咔嚓，咔嚓！,哢嚓，哢嚓！,Snip， snip!
SAY.chapterFlow04.4886.旁白,,威风女侠被击中了，吃了个大亏！,威风女侠被击中了，吃了个大亏！,威風女俠被擊中了，吃了個大虧！,Mighty Heroine has been struck， it's super effective!
SAY.chapterFlow04.4891.旁白,,威风女侠使用了叮铃铛啷。,威风女侠使用了叮铃铛啷。,威風女俠使用了叮鈴鐺啷。,Mighty Heroine uses Ding Ling Dang Lang!
SAY.chapterFlow04.4904.旁白,,剪刀怪对此不痛不痒。,剪刀怪对此不痛不痒。,剪刀怪對此不痛不癢。,Scissor Monster is unaffected.
SAY.chapterFlow04.4905.旁白,,威风女侠：阿爸，什么是不痛不痒？,威风女侠：阿爸，什么是不痛不痒？,威風女俠：阿爸，什麼是不痛不癢？,Mighty Heroine: Daddy， what's “unaffected”?
SAY.chapterFlow04.4906.旁白,,剪刀怪：就是没有受伤啊。,剪刀怪：就是没有受伤啊。,剪刀怪：就是沒有受傷啊。,Scissor Monster: That means I didn't get hurt.
SAY.chapterFlow04.4907.旁白,,威风女侠：不行！叮铃铛啷很厉害的！,威风女侠：不行！叮铃铛啷很厉害的！,威風女俠：不行！叮鈴鐺啷很厲害的！,Mighty Heroine: No! Ding Ling Dang Lang is powerful!
SAY.chapterFlow04.4908.旁白,,威风女侠：不能没有受伤。,威风女侠：不能没有受伤。,威風女俠：不能沒有受傷。,Mighty Heroine: You have to get hurt.
SAY.chapterFlow04.4909.旁白,,剪刀怪：好好好。,剪刀怪：好好好。,剪刀怪：好好好。,Scissor Monster: okay okay.
SAY.chapterFlow04.4917.旁白,,剪刀怪突然觉得疼得不行。,剪刀怪突然觉得疼得不行。,剪刀怪突然覺得疼得不行。,Scissor Monster is in extreme pain.
SAY.chapterFlow04.4918.旁白,,剪刀怪：叮铃铛啷，什么古灵精怪的名字。,剪刀怪：叮铃铛啷，什么古灵精怪的名字。,剪刀怪：叮鈴鐺啷，什麼古靈精怪的名字。,Scissor Monster: Ding Ling Dang Lang， what kind of strange name.
SAY.chapterFlow04.4919.旁白,,威风女侠：是用钱砸人的招式呀！,威风女侠：是用钱砸人的招式呀！,威風女俠：是用錢砸人的招式呀！,Mighty Heroine: It's a move where you throw money!
SAY.chapterFlow04.4920.旁白,,威风女侠：金币扔出去的声音，就是叮铃铛啷的。,威风女侠：金币扔出去的声音，就是叮铃铛啷的。,威風女俠：金幣扔出去的聲音，就是叮鈴鐺啷的。,Mighty Heroine: The sound money makes when you throw it， Ding Ling Dang Lang.
SAY.chapterFlow04.4921.旁白,,威风女侠：威风女侠说，钱越多，打人越疼。,威风女侠：威风女侠说，钱越多，打人越疼。,威風女俠：威風女俠說，錢越多，打人越疼。,Mighty Heroine: Mighty Heroine says， the more money you throw the more damage it does.
SAY.chapterFlow04.4922.旁白,,剪刀怪：用钱打人……自己不更心疼吗？,剪刀怪：用钱打人……自己不更心疼吗？,剪刀怪：用錢打人……自己不更心疼嗎？,Scissor Monster: Hitting people with money...doesn't it hurt heart?
SAY.chapterFlow04.4931.旁白,,威风女侠巧妙地化解了攻击，毫发无伤。,威风女侠巧妙地化解了攻击，毫发无伤。,威風女俠巧妙地化解了攻擊，毫髮無傷。,Mighty Heroine dodges the attack and takes no damage.
SAY.chapterFlow04.4932.旁白,,剪刀怪：你做了什么就把我攻击化解了？,剪刀怪：你做了什么就把我攻击化解了？,剪刀怪：你做了什麼就把我攻擊化解了？,Scissor Monster: What did you do to not take damage?
SAY.chapterFlow04.4934.旁白,,威风女侠：威风女侠动作很快的！,威风女侠：威风女侠动作很快的！,威風女俠：威風女俠動作很快的！,Mighty Heroine: Mighty Heroine is fast!
SAY.chapterFlow04.4935.旁白,,威风女侠：躲开了你也看不到！,威风女侠：躲开了你也看不到！,威風女俠：躲開了你也看不到！,Mighty Heroine: You can't even see if I dodged.
SAY.chapterFlow04.4936.旁白,,剪刀怪：行，到你。,剪刀怪：行，到你。,剪刀怪：行，到你。,Scissor Monster: Okay， your turn.
SAY.chapterFlow04.4937.旁白,,威风女侠使用了红红火火。,威风女侠使用了红红火火。,威風女俠使用了紅紅火火。,Mighty Heroine uses red burny.
SAY.chapterFlow04.4949.旁白,,剪刀怪受到了重伤。,剪刀怪受到了重伤。,剪刀怪受到了重傷。,It's super effective against Scissor Monster.
SAY.chapterFlow04.4950.旁白,,剪刀怪：我不怕火，没啥影响。,剪刀怪：我不怕火，没啥影响。,剪刀怪：我不怕火，沒啥影響。,Scissor Monster: I'm not afraid of fire， it doesn't affect me.
SAY.chapterFlow04.4958.旁白,,剪刀怪受到了轻伤。,剪刀怪受到了轻伤。,剪刀怪受到了輕傷。,It's not very effective against Scissor Monster.
SAY.chapterFlow04.4966.旁白,,威风女侠：不公平！,威风女侠：不公平！,威風女俠：不公平！,Mighty Heroine: Not fair!
SAY.chapterFlow04.4967.旁白,,威风女侠：你都不按书里的来！,威风女侠：你都不按书里的来！,威風女俠：你都不按書裏的來！,Mighty Heroine: You don't play by the book!
SAY.chapterFlow04.4968.旁白,,剪刀怪：我本来就是坏人，为什么要公平？,剪刀怪：我本来就是坏人，为什么要公平？,剪刀怪：我本來就是壞人，為什麼要公平？,Scissor Monster: I'm a bad guy， why should it be fair?
SAY.chapterFlow04.4978.旁白,,剪刀怪受了伤，接下来很难发挥实力了。,剪刀怪受了伤，接下来很难发挥实力了。,剪刀怪受了傷，接下來很難發揮實力了。,Scissor Monster is hurt， it's hard to fight to their full potential.
SAY.chapterFlow04.4979.旁白,,剪刀怪：为什么我出的招，反而自己会受伤？,剪刀怪：为什么我出的招，反而自己会受伤？,剪刀怪：為什麼我出的招，反而自己會受傷？,Scissor Monster: How come when I attack， I hurt myself?
SAY.chapterFlow04.4980.旁白,,威风女侠：因为我反弹了呀。,威风女侠：因为我反弹了呀。,威風女俠：因為我反彈了呀。,Mighty Heroine: Because I reflect it.
SAY.chapterFlow04.5019.旁白,,剪刀怪：有这招的吗？,剪刀怪：有这招的吗？,剪刀怪：有這招的嗎？,Scissor Monster: There's such a move?
SAY.chapterFlow04.4981.旁白,,剪刀怪：我没看到书里有写啊？,剪刀怪：我没看到书里有写啊？,剪刀怪：我沒看到書裏有寫啊？,Scissor Monster: I didn't see it in the book.
SAY.chapterFlow04.4982.旁白,,威风女侠：这是女侠的秘密武器。,威风女侠：这是女侠的秘密武器。,威風女俠：這是女俠的秘密武器。,Mighty Heroine: It's the Heroine's secret weapon.
SAY.chapterFlow04.4983.旁白,,威风女侠：不会写出来的！,威风女侠：不会写出来的！,威風女俠：不會寫出來的！,Mighty Heroine: They won't write it out.
SAY.chapterFlow04.4984.旁白,,剪刀怪：那你为什么会知道！？,剪刀怪：那你为什么会知道！？,剪刀怪：那你為什麼會知道！？,Scissor Monster: Then how do you know?!
SAY.chapterFlow04.4985.旁白,,威风女侠：我不管，我就是有这招！,威风女侠：我不管，我就是有这招！,威風女俠：我不管，我就是有這招！,Mighty Heroine: I don't care， I have this movie!
SAY.chapterFlow04.4986.旁白,,威风女侠使用了福星高照。,威风女侠使用了福星高照。,威風女俠使用了福星高照。,Mighty Heroine uses Lucky Star.
SAY.chapterFlow04.5002.旁白,,耀眼的星光下，一切邪恶无所遁形！,耀眼的星光下，一切邪恶无所遁形！,耀眼的星光下，一切邪惡無所遁形！,A shiny star shines down， revealing all evil!
SAY.chapterFlow04.5003.旁白,,再怎么挣扎，也逃掉不了被消灭的命运。,再怎么挣扎，也逃掉不了被消灭的命运。,再怎麼掙扎，也逃掉不了被消滅的命運。,No matter how hard you struggle， you cannot escape the fate of being destroyed.
SAY.chapterFlow04.5004.旁白,,剪刀怪战败了！,剪刀怪战败了！,剪刀怪戰敗了！,Scissor Monster was defeated!
SAY.chapterFlow04.5005.旁白,,剪刀怪：你这个女侠太狡猾了。,剪刀怪：你这个女侠太狡猾了。,剪刀怪：你這個女俠太狡猾了。,Scissor Monster: You are too sneaky， Heroine.
SAY.chapterFlow04.5020.旁白,,剪刀怪：谁打得过你啊？,剪刀怪：谁打得过你啊？,剪刀怪：誰打得過你啊？,Scissor Monster: Who can defeat you?
SAY.chapterFlow04.5006.旁白,,威风女侠：不是这样说的！,威风女侠：不是这样说的！,威風女俠：不是這樣說的！,Mighty Heroine: That's not how it goes!
SAY.chapterFlow04.5021.旁白,,威风女侠：你要读书里的句子！,威风女侠：你要读书里的句子！,威風女俠：你要讀書裏的句子！,Mighty Heroine: You have to follow what the book says!
SAY.chapterFlow04.5007.旁白,,威风女侠：坏蛋输的时候会说很长一段话的！,威风女侠：坏蛋输的时候会说很长一段话的！,威風女俠：壞蛋輸的時候會說很長一段話的！,Mighty Heroine: When the bad guys lose they have a whole thing to say!
SAY.chapterFlow04.5008.旁白,,剪刀怪：……,剪刀怪：……,剪刀怪：……,Scissor Monster: ...
SAY.chapterFlow04.5009.旁白,,剪刀怪：不！我不会输的！我是最强的！,剪刀怪：不！我不会输的！我是最强的！,剪刀怪：不！我不會輸的！我是最強的！,Scissor Monster: No! I can't lose! I am the strongest!
SAY.chapterFlow04.5010.旁白,,剪刀怪：可恶的……威，威……风女侠。,剪刀怪：可恶的……威，威……风女侠。,剪刀怪：可惡的……威，威……風女俠。,Scissor Monster: So detestable...Migh...Mighty Heroine.
SAY.chapterFlow04.5022.旁白,,剪刀怪：呜啊————嘣，哔哩嘣啷。,剪刀怪：呜啊————嘣，哔哩嘣啷。,剪刀怪：嗚啊————嘣，嗶哩嘣啷。,Scissor Monster: Gahh- Rahhh- Bang， kachong crash.
SAY.chapterFlow04.5012.旁白,,威风女侠：呵呵呵，哈哈哈哈哈哈。,威风女侠：呵呵呵，哈哈哈哈哈哈。,威風女俠：呵呵呵，哈哈哈哈哈哈。,Mighty Heroine: Hehehe， hahahahahaha.
SAY.chapterFlow04.5013.旁白,,又一次，威风女侠维护了宇宙的和平。,又一次，威风女侠维护了宇宙的和平。,又一次，威風女俠維護了宇宙的和平。,Once again， the Mighty Heroine saves the universe.
SAY.chapterFlow04.5025.主角,,好玩咩？,好玩咩？,好玩咩？,Fun?
SAY.chapterFlow04.5027.女儿,,好玩！真神奇！,好玩！真神奇！,好玩！真神奇！,Fun! Amazing!
SAY.chapterFlow04.5029.女儿,,闭上眼睛，我好像真的变成了威风女侠！,闭上眼睛，我好像真的变成了威风女侠！,閉上眼睛，我好像真的變成了威風女俠！,When I close my eyes， it's like I turn into the Mighty Heroine!
SAY.chapterFlow04.5117.女儿,,好像真的在打坏蛋！,好像真的在打坏蛋！,好像真的在打壞蛋！,Like I'm really beating bad guys!
SAY.chapterFlow04.5031.主角,,所谓演戏不就是把自己当成你演的那个人嘛？,所谓演戏不就是把自己当成你演的那个人嘛？,所謂演戲不就是把自己當成你演的那個人嘛？,Isn't that's what acting is about? You pretend like you're that person?
SAY.chapterFlow04.5032.主角,,只要你想象自己是她，你就有那种感觉。,只要你想象自己是她，你就有那种感觉。,只要你想像自己是她，你就有那種感覺。,As long as you imagine yourself as her， you can have that feeling.
SAY.chapterFlow04.5118.主角,,体力不行也没影响的，又不是真的打架。,体力不行也没影响的，又不是真的打架。,體力不行也沒影響的，又不是真的打架。,It's okay if you don't have lots of energy， it's not real fighting.
SAY.chapterFlow04.5033.女儿,,太好了！,太好了！,太好了！,Great!
SAY.chapterFlow04.5034.女儿,,我也可以当女侠了！,我也可以当女侠了！,我也可以當女俠了！,I can be a heroine too!
SAY.chapterFlow04.5035.主角,,我们小时候没有肉吃，也是靠想象啊。,我们小时候没有肉吃，也是靠想象啊。,我們小時候沒有肉吃，也是靠想像啊。,When we didn't have meat， we also imagined.
SAY.chapterFlow04.5036.主角,,天天吃红薯，你不想象一下怎么吃得下去。,天天吃红薯，你不想象一下怎么吃得下去。,天天吃紅薯，你不想像一下怎麼吃得下去。,Eating sweet potatoes everyday， if you can't imagine how can you do it?
SAY.chapterFlow04.5043.女儿,,哈哈哈哈。,哈哈哈哈。,哈哈哈哈。,Hahahaha.
SAY.chapterFlow04.5044.主角,,以后我得空就跟你玩，好不好？,以后我得空就跟你玩，好不好？,以後我得空就跟你玩，好不好？,In the future when I'm free I'll play with you， okay?
SAY.chapterFlow04.5045.女儿,,嗯！,嗯！,嗯！,Yup!
SAY.chapterFlow04.5119.主角,,下回不准这么赖皮啊！你都是乱来的！,下回不准这么赖皮啊！你都是乱来的！,下回不准這麼賴皮啊！你都是亂來的！,Can't cheat next time! You make too many things up!
SAY.chapterFlow04.5115.女儿,,嘻嘻嘻嘻。,嘻嘻嘻嘻。,嘻嘻嘻嘻。,Hehehehe.
SAY.chapterFlow04.5123.UI旁白1,,篮球场这条街很空旷，一眼能看完。,篮球场这条街很空旷，一眼能看完。,籃球場這條街很空曠，一眼能看完。,This street next to the Basketball Courts is pretty open， you can see everything with a glance.
SAY.chapterFlow04.5423.UI旁白1,,她的钥匙应该不会掉在这里。,她的钥匙应该不会掉在这里。,她的鑰匙應該不會掉在這裏。,Her key probably isn't here.
SAY.chapterFlow04.5403.UI旁白1,,之前陪地主妹看过一个动画片，叫《机器狗》。,之前陪地主妹看过一个动画片，叫《机器狗》。,之前陪地主妹看過一個動畫片，叫《機器狗》。,Ah not long ago I went with the kid to watch a cartoon movie， “Robot Dog”.
SAY.chapterFlow04.5404.UI旁白1,,它有个法宝是一扇门。,它有个法宝是一扇门。,它有個法寶是一扇門。,They had a gadget that was a door.
SAY.chapterFlow04.5405.UI旁白1,,自己想好去哪里，打开门就是那个地方。,自己想好去哪里，打开门就是那个地方。,自己想好去哪里，打開門就是那個地方。,Once you thnk of where you want to go， you open the door and there you are.
SAY.chapterFlow04.5406.UI旁白1,,真有那玩意儿就好了，多方便啊。,真有那玩意儿就好了，多方便啊。,真有那玩意兒就好了，多方便啊。,It'd be so nice if that was real， how convenient.
SAY.chapterFlow04.5407.UI旁白1,,最好是能用来开车送货，绝对发大财。,最好是能用来开车送货，绝对发大财。,最好是能用來開車送貨，絕對發大財。,If you can use it to make deliveries， you'd make a lot of money.
SAY.chapterFlow04.5408.UI旁白1,,算了，别做梦了，一步一步自己走吧。,算了，别做梦了，一步一步自己走吧。,算了，別做夢了，一步一步自己走吧。,Bah， no time to daydream， better do it myself one step at a time.
SAY.chapterFlow04.5410.UI旁白1,,看地图看半天，还不如走起来。,看地图看半天，还不如走起来。,看地圖看半天，還不如走起來。,Instead of staring at the map， better to just start walking.
SAY.chapterFlow04.5414.UI旁白1,,芷滨发展得不错，该有的都有了。,芷滨发展得不错，该有的都有了。,芷濱發展得不錯，該有的都有了。,Zhibin's development is coming along， we have everything we're supposed to have.
SAY.chapterFlow04.5416.UI旁白1,,有些路好久没走过了，有的人也很久没来往。,有些路好久没走过了，有的人也很久没来往。,有些路好久沒走過了，有的人也很久沒來往。,Haven't walked down some streets， and haven't said hi to lots of people.
SAY.chapterFlow04.5418.UI旁白1,,闲逛一下也问题不大，可别忘了要做的事情。,闲逛一下也问题不大，可别忘了要做的事情。,閒逛一下也問題不大，可別忘了要做的事情。,Shouldn't be a big problem to wander around a bit， but still， gotta remember what I gotta do.
SAY.chapterFlow04.5466.女儿,,阿爸。,阿爸。,阿爸。,Daddy.
SAY.chapterFlow04.5467.女儿,,我这样子拿笔对不对？,我这样子拿笔对不对？,我這樣子拿筆對不對？,Am I holding my pencil correctly?
SAY.chapterFlow04.5468.女儿,,张老师说我不会拿笔，写的字很难看。,张老师说我不会拿笔，写的字很难看。,張老師說我不會拿筆，寫的字很難看。,Teacher Zhang says I don't know how to hold a pencil， my writing is ugly.
SAY.chapterFlow04.5469.女儿,,陈老师也让我练字。,陈老师也让我练字。,陳老師也讓我練字。,Teacher Chen also makes me practice.
SAY.chapterFlow04.5470.主角,,我不懂哦。,我不懂哦。,我不懂哦。,I don't understand.
SAY.chapterFlow04.5471.主角,,我的字也是很差的。,我的字也是很差的。,我的字也是很差的。,My writing is bad too.
SAY.chapterFlow04.5472.主角,,从小你公就骂我，说我写的字是像狗爪。,从小你公就骂我，说我写的字是像狗爪。,從小你公就罵我，說我寫的字是像狗爪。,When I was a kid your grandpa would scold me and tell me that my writing was like a dog clawing at the ground.
SAY.chapterFlow04.5473.女儿,,哈哈哈哈。,哈哈哈哈。,哈哈哈哈。,Hahahahaha.
SAY.chapterFlow04.5474.女儿,,那我要怎么办呀……,那我要怎么办呀……,那我要怎麼辦呀……,What should I do...
SAY.chapterFlow04.5475.主角,,多问问老师，慢慢练。,多问问老师，慢慢练。,多問問老師，慢慢練。,Ask the teachers for help， keep practicing.
SAY.chapterFlow04.5476.主角,,字都是练出来。,字都是练出来。,字都是練出來。,Good handwriting comes from practice.
SAY.chapterFlow04.5478.熊小龙,,覃茁荔。,覃茁荔。,覃茁荔。,Qin Zhuoli.
SAY.chapterFlow04.5479.熊小龙,,覃茁荔。,覃茁荔。,覃茁荔。,Qin Zhuoli.
SAY.chapterFlow04.5480.主角,,……,……,……,……
SAY.chapterFlow04.5483.女儿,,……,……,……,……
SAY.chapterFlow04.5484.熊小龙,,覃茁荔。,覃茁荔。,覃茁荔。,Qin Zhuoli.
SAY.chapterFlow04.5485.主角,,你听见吗？,你听见吗？,你聽見嗎？,Do you hear that?
SAY.chapterFlow04.5487.女儿,,听见。,听见。,聽見。,Yeah.
SAY.chapterFlow04.5489.主角,,是在喊你的名字吗？,是在喊你的名字吗？,是在喊你的名字嗎？,Someone is calling your name?
SAY.chapterFlow04.5490.女儿,,好像是……,好像是……,好像是……,I think...
SAY.chapterFlow04.5491.主角,,是不是有人在门口？,是不是有人在门口？,是不是有人在門口？,Is someone at the door?
SAY.chapterFlow04.5492.主角,,我去看看。,我去看看。,我去看看。,I'll go look.
SAY.chapterFlow04.5493.熊小龙,,覃茁荔！,覃茁荔！,覃茁荔！,Qin Zhuoli!
SAY.chapterFlow04.5496.主角,,……,……,……,……
SAY.chapterFlow04.5498.女儿,,……,……,……,……
SAY.chapterFlow04.5500.旁白2,,有看到人吗？,有看到人吗？,有看到人嗎？,Do you see anyone?
SAY.chapterFlow04.5501.熊小龙,,看见覃茁荔啦！,看见覃茁荔啦！,看見覃茁荔啦！,I see Qin Zhuoli!
SAY.chapterFlow04.5502.熊小龙,,还有一个人！,还有一个人！,還有一個人！,And someone else!
SAY.chapterFlow04.5503.旁白3,,是不是她爸？,是不是她爸？,是不是她爸？,Is it her dad?
SAY.chapterFlow04.5504.熊小龙,,应该是。,应该是。,應該是。,I think so.
SAY.chapterFlow04.5505.旁白3,,他们见到你了吗？,他们见到你了吗？,他們見到你了嗎？,Do ya'll see him?
SAY.chapterFlow04.5506.旁白3,,你叫他们开门呀！,你叫他们开门呀！,你叫他們開門呀！,Tell him to open the door!
SAY.chapterFlow04.5507.熊小龙,,覃茁荔！开门！,覃茁荔！开门！,覃茁荔！開門！,Qin Zhuoli! Open the door!
SAY.chapterFlow04.5508.熊小龙,,我们来找你玩啦！,我们来找你玩啦！,我們來找你玩啦！,Come play with us!
SAY.chapterFlow04.5509.熊小龙,,嘿嘿嘿，叔叔，开门，开门。,嘿嘿嘿，叔叔，开门，开门。,嘿嘿嘿，叔叔，開門，開門。,Hehehe， Uncle， open up， open up!
SAY.chapterFlow04.5511.旁白4,,熊小龙，你莫乱动！,熊小龙，你莫乱动！,熊小龍，你莫亂動！,Xiong Xiaolong， stop moving around!
SAY.chapterFlow04.5512.熊小龙,,老黄，你站稳一点！,老黄，你站稳一点！,老黃，你站穩一點！,Old Huang， steady!
SAY.chapterFlow04.5513.熊小龙,,摇摇晃晃的！,摇摇晃晃的！,搖搖晃晃的！,You're shaking!
SAY.chapterFlow04.5514.旁白4,,你太重了！,你太重了！,你太重了！,You're too heavy!
SAY.chapterFlow04.5515.旁白4,,我扛不住了！,我扛不住了！,我扛不住了！,I can't anymore!
SAY.chapterFlow04.5518.主角,,……,……,……,……
SAY.chapterFlow04.5520.女儿,,……,……,……,……
SAY.chapterFlow04.5525.付毓滢,,叔叔你好，我是茁荔的同学。,叔叔你好，我是茁荔的同学。,叔叔你好，我是茁荔的同學。,Hello Uncle， we're Zhuoli's classmates.
SAY.chapterFlow04.5526.付毓滢,,我叫付毓滢。,我叫付毓滢。,我叫付毓瀅。,I'm Fu Yuying.
SAY.chapterFlow04.5527.主角,,你好。,你好。,你好。,Hello.
SAY.chapterFlow04.5528.李颖,,叔叔！,叔叔！,叔叔！,Uncle!
SAY.chapterFlow04.5529.主角,,李颖你好。,李颖你好。,李穎你好。,Hi Li Ying.
SAY.chapterFlow04.5530.熊小龙,,我是熊小龙。,我是熊小龙。,我是熊小龍。,I'm Xiong Xiaolong.
SAY.chapterFlow04.5531.熊小龙,,这个是黄乐飘，我们都叫他老黄。,这个是黄乐飘，我们都叫他老黄。,這個是黃樂飄，我們都叫他老黃。,This is Huang Lepiao， we all call him Old Huang.
SAY.chapterFlow04.5532.黄乐飘,,我不是老黄！,我不是老黄！,我不是老黃！,I'm not Old Huang!
SAY.chapterFlow04.5533.旁白1,,哈哈哈哈哈。,哈哈哈哈哈。,哈哈哈哈哈。,Hahahahaha.
SAY.chapterFlow04.5534.主角,,你们好你们好。,你们好你们好。,你們好你們好。,Hi everyone.
SAY.chapterFlow04.5535.黄乐飘,,覃茁荔，我带了波珠棋和飞行棋。,覃茁荔，我带了波珠棋和飞行棋。,覃茁荔，我帶了波珠棋和飛行棋。,Qin Zhuoli， I brought checkers and Aeroplane Chess.
SAY.chapterFlow04.5536.黄乐飘,,算上叔叔一共六个人，我们可以玩波珠棋。,算上叔叔一共六个人，我们可以玩波珠棋。,算上叔叔一共六個人，我們可以玩波珠棋。,With Uncle there's six of us， we can play checkers.
SAY.chapterFlow04.5537.熊小龙,,有波珠棋啊！？,有波珠棋啊！？,有波珠棋啊！？,Checkers!?
SAY.chapterFlow04.5538.熊小龙,,那为什么不打波珠？,那为什么不打波珠？,那為什麼不打波珠？,Why don't we play checkers?
SAY.chapterFlow04.5539.黄乐飘,,不打，这么幼稚。,不打，这么幼稚。,不打，這麼幼稚。,I don't want to， so childish.
SAY.chapterFlow04.5540.熊小龙,,什么是“幼稚”？,什么是“幼稚”？,什麼是“幼稚”？,What's “Childish”
SAY.chapterFlow04.5541.黄乐飘,,小娃仔才做的事，叫做幼稚的事。,小娃仔才做的事，叫做幼稚的事。,小娃仔才做的事，叫做幼稚的事。,Things children do.
SAY.chapterFlow04.5542.熊小龙,,我们不是娃仔咯？,我们不是娃仔咯？,我們不是娃仔咯？,So we aren't kids?
SAY.chapterFlow04.5543.黄乐飘,,……,……,……,……
SAY.chapterFlow04.5546.熊小龙,,说你是老黄还不承认。,说你是老黄还不承认。,說你是老黃還不承認。,Call you Old Huang and you still don't want to admit it.
SAY.chapterFlow04.5547.旁白1,,哈哈哈哈哈。,哈哈哈哈哈。,哈哈哈哈哈。,Hahahahaha.
SAY.chapterFlow04.5548.付毓滢,,玩什么都行。,玩什么都行。,玩什麼都行。,We can play whatever.
SAY.chapterFlow04.5549.付毓滢,,我可以看你们玩。,我可以看你们玩。,我可以看你們玩。,I can watch y'all play.
SAY.chapterFlow04.5550.李颖,,别争了，快点去玩吧。,别争了，快点去玩吧。,別爭了，快點去玩吧。,Stop fighting， let's go play.
SAY.chapterFlow04.5551.女儿,,阿爸阿爸！,阿爸阿爸！,阿爸阿爸！,Daddy daddy!
SAY.chapterFlow04.5554.主角,,怎么了？,怎么了？,怎麼了？,What?
SAY.chapterFlow04.5556.女儿,,我是不是应该去拿吃的给大家啊？,我是不是应该去拿吃的给大家啊？,我是不是應該去拿吃的給大家啊？,Should I bring snacks to everyone?
SAY.chapterFlow04.5557.主角,,得啦，你不用管。,得啦，你不用管。,得啦，你不用管。,Got it， don't worry about it.
SAY.chapterFlow04.5558.主角,,阿爸来搞定就好。,阿爸来搞定就好。,阿爸來搞定就好。,Dad will handle it.
SAY.chapterFlow04.5562.主角,,你们中午在这里吃饭，好不好？,你们中午在这里吃饭，好不好？,你們中午在這裏吃飯，好不好？,How about y'all just have lunch here?
SAY.chapterFlow04.5563.主角,,现在都十点几了，叔叔准备去买菜煮饭。,现在都十点几了，叔叔准备去买菜煮饭。,現在都十點幾了，叔叔準備去買菜煮飯。,It's ten something， I'll go buy stuff to make.
SAY.chapterFlow04.5564.旁白1,,……,……,……,.....
SAY.chapterFlow04.5565.主角,,你们有什么特别想吃的吗？,你们有什么特别想吃的吗？,你們有什麼特別想吃的嗎？,Do you have anything you want in particular?
SAY.chapterFlow04.5566.主角,,我去给你们买！,我去给你们买！,我去給你們買！,I can buy it for you.
SAY.chapterFlow04.5567.熊小龙,,什么都可以吗？,什么都可以吗？,什麼都可以嗎？,Anything?
SAY.chapterFlow04.5568.主角,,什么都可以。,什么都可以。,什麼都可以。,Anything.
SAY.chapterFlow04.5569.熊小龙,,哇——好喔！,哇——好喔！,哇——好喔！,Wow- okay!
SAY.chapterFlow04.5570.熊小龙,,我想吃奶油蛋糕！,我想吃奶油蛋糕！,我想吃奶油蛋糕！,I want a shortcake!
SAY.chapterFlow04.5571.黄乐飘,,你怎么好意思叫叔叔买这么贵的东西！？,你怎么好意思叫叔叔买这么贵的东西！？,你怎麼好意思叫叔叔買這麼貴的東西！？,You don't feel shameful asking for that?!
SAY.chapterFlow04.5572.熊小龙,,很贵吗？,很贵吗？,很貴嗎？,Is it expensive?
SAY.chapterFlow04.5573.黄乐飘,,当然，我家只有生日的时候才吃的。,当然，我家只有生日的时候才吃的。,當然，我家只有生日的時候才吃的。,Of course， we only have it for birthdays at my house.
