Key,Description,Standard,Chinese,TraditionalChinese
SAY.chapterFlow06.5804.女儿,,我想回去告诉毓滢她们路上都见到了什么。,I want to tell Yuying and them what I saw on the way.,I want to tell Yuying and them what I saw on the way.
SAY.chapterFlow06.5805.主角,,看得见咩？,Can you see?,Can you see?
SAY.chapterFlow06.5806.主角,,要不要坐桌子上面？,Do you want to sit on the table?,Do you want to sit on the table?
SAY.chapterFlow06.5807.女儿,,不用，这样就行。,No， I'm fine here.,No， I'm fine here.
SAY.chapterFlow06.5808.女儿,,阿爸，我记得广东那边的山跟我们这边不同。,Daddy， I remember the mountains in Guangdong are different from here.,Daddy， I remember the mountains in Guangdong are different from here.
SAY.chapterFlow06.5809.主角,,各地的风景都不一样。,Every place is different.,Every place is different.
SAY.chapterFlow06.5810.主角,,离得越远，差异越大。,The further apart they are， the more different they are.,The further apart they are， the more different they are.
SAY.chapterFlow06.5811.女儿,,阿爸。,Dad.,Dad.
SAY.chapterFlow06.5813.女儿,,我的病会好的，是吗？,I'll get better， right?,I'll get better， right?
SAY.chapterFlow06.5814.主角,,……当然啊。,...Of course.,...Of course.
SAY.chapterFlow06.5815.主角,,问这种蠢问题。,Don't ask silly questions.,Don't ask silly questions.
SAY.chapterFlow06.5816.女儿,,我突然害怕了。,I'm suddenly scared.,I'm suddenly scared.
SAY.chapterFlow06.6425.女儿,,我还有好多东西想看。,I have lots of things I want to see still.,I have lots of things I want to see still.
SAY.chapterFlow06.6426.女儿,,我怕我的病不好，以后都看不到了。,I'm afraid if I dont' get better， I won't see it all.,I'm afraid if I dont' get better， I won't see it all.
SAY.chapterFlow06.6428.主角,,……,......,......
SAY.chapterFlow06.6437.主角,,不要想这么多，等到了广东带你吃好吃的。,Don't think about that much， when we get to Guangdong I'll get you yummy food.,Don't think about that much， when we get to Guangdong I'll get you yummy food.
SAY.chapterFlow06.6438.女儿,,煲仔饭好吃！,Claypot rice is yummy!,Claypot rice is yummy!
SAY.chapterFlow06.6439.女儿,,还有那种也好吃！,And that other thing is yummy!,And that other thing is yummy!
SAY.chapterFlow06.6440.女儿,,那种一个盘子里有几个格子的，装着几样菜。,That plate with boxes with all sorts of things.,That plate with boxes with all sorts of things.
SAY.chapterFlow06.6441.主角,,那叫快餐。,Oh， that's fast food.,Oh， that's fast food.
SAY.chapterFlow06.6442.主角,,你还记得广东话是哪样讲的咩？,Do you remember how to say it for Cantonese?,Do you remember how to say it for Cantonese?
SAY.chapterFlow06.6443.主角,,我们去哪里吃饭？,Where are we going to eat?,Where are we going to eat?
SAY.chapterFlow06.6444.女儿,,我地黑壁都蚀饭？,Ngo dei haak pin tao ze fan,Ngo dei haak pin tao ze fan
SAY.chapterFlow06.6445.主角,,边度，不是壁都。,Pin dou， not pin tao.,Pin dou， not pin tao.
SAY.chapterFlow06.6446.主角,,我地系边度吃饭。,Ngo dei hooi pin dou sek fan,Ngo dei hooi pin dou sek fan
SAY.chapterFlow06.6447.女儿,,我地黑宾豆谢饭。,Ngo dei hai pin dou ze faan.,Ngo dei hai pin dou ze faan.
SAY.chapterFlow06.6448.主角,,嗯，差不多。,Hm， good enough.,Hm， good enough.
SAY.chapterFlow06.6449.女儿,,唔……,Uh...,Uh...
SAY.chapterFlow06.6450.女儿,,说得我有点饿了。,Now i'm a bit hungry.,Now i'm a bit hungry.
SAY.chapterFlow06.5923.女儿,,阿爸。,Daddy.,Daddy.
SAY.chapterFlow06.5924.女儿,,我们还有多久才到呀？,How long until we get there?,How long until we get there?
SAY.chapterFlow06.5925.主角,,现在都还没进广东省。,We haven't even gotten to Guangdong province yet.,We haven't even gotten to Guangdong province yet.
SAY.chapterFlow06.5926.主角,,至少要明天中午了。,Probably not until tomorrow Noon.,Probably not until tomorrow Noon.
SAY.chapterFlow06.5927.女儿,,噢，好远哦。,Oh， so far.,Oh， so far.
SAY.chapterFlow06.5929.女儿,,阿爸……,Dad...,Dad...
SAY.chapterFlow06.5930.女儿,,为什么停车了……,Why are we stopped...,Why are we stopped...
SAY.chapterFlow06.5931.主角,,我也不知道。,I don't know either.,I don't know either.
SAY.chapterFlow06.5932.主角,,停了蛮久了。,Been stopped for a while.,Been stopped for a while.
SAY.chapterFlow06.5933.女儿,,没有风，好热……,There's no breeze， it's so hot...,There's no breeze， it's so hot...
SAY.chapterFlow06.5934.主角,,你怎么脸色这么差？,Why do you look so pale?,Why do you look so pale?
SAY.chapterFlow06.5935.主角,,不舒服吗？,Are you not comfortable?,Are you not comfortable?
SAY.chapterFlow06.5936.女儿,,喉咙……有点痛……,Throat...hurts a little...,Throat...hurts a little...
SAY.chapterFlow06.5940.主角,,……,......,......
SAY.chapterFlow06.5943.主角,,你好像发烧了。,I think you have a fever.,I think you have a fever.
SAY.chapterFlow06.5946.乘务员燕姐,,同志，你是去哪里的？,Comrade， where are you headed?,Comrade， where are you headed?
SAY.chapterFlow06.5952.主角,,广东。,Guangdong.,Guangdong.
SAY.chapterFlow06.5948.乘务员燕姐,,你要去成周市转汽车，是吗？,You are going to Chengzhou then going by bus， right?,You are going to Chengzhou then going by bus， right?
SAY.chapterFlow06.6430.主角,,是的。,Yes.,Yes.
SAY.chapterFlow06.5949.乘务员燕姐,,现在的情况是这样的。,So the situation is this.,So the situation is this.
SAY.chapterFlow06.5950.乘务员燕姐,,我们马上就到成周站。,We are about to get to Chengzhou station.,We are about to get to Chengzhou station.
SAY.chapterFlow06.5951.乘务员燕姐,,但是因为昨天发大水，半个成周都受到波及。,But because of the torrential rain yesterday， half of Chengzhou is affected.,But because of the torrential rain yesterday， half of Chengzhou is affected.
SAY.chapterFlow06.6432.乘务员燕姐,,进入市区的道路全部被洪水淹没了。,All the roads there are flooded.,All the roads there are flooded.
SAY.chapterFlow06.6433.乘务员燕姐,,要去汽车站的话，只能等待洪水消退。,To get to the bus station， you'll have to wait for the water to recede.,To get to the bus station， you'll have to wait for the water to recede.
SAY.chapterFlow06.6431.主角,,……怎么突然有洪水？,...How did it flood so suddenly?,...How did it flood so suddenly?
SAY.chapterFlow06.5953.乘务员燕姐,,这几天降雨量太大了。,There was just too much rain these past few days.,There was just too much rain these past few days.
SAY.chapterFlow06.5957.主角,,转车还是其次。,Changing to bus isn't the most important thing.,Changing to bus isn't the most important thing.
SAY.chapterFlow06.6435.主角,,我孩子发烧了，我本来准备带她去医院的。,My kid is running a fever， I was going to take her to the hospital.,My kid is running a fever， I was going to take her to the hospital.
SAY.chapterFlow06.5954.乘务员燕姐,,哎呀！怎么这么不巧！,Aiyah! This is unfortunate!,Aiyah! This is unfortunate!
SAY.chapterFlow06.6434.主角,,医院也在市区，是吗？,The hospital is in the city too， right?,The hospital is in the city too， right?
SAY.chapterFlow06.5955.乘务员燕姐,,对。,Yes.,Yes.
SAY.chapterFlow06.5958.主角,,能帮帮我吗？,Can you help me?,Can you help me?
SAY.chapterFlow06.6436.主角,,不去医院不行，她烧得太厉害了。,I have to get to the hospital， she's burning up.,I have to get to the hospital， she's burning up.
SAY.chapterFlow06.5956.乘务员燕姐,,行，你别着急。,Okay， don't worry.,Okay， don't worry.
SAY.chapterFlow06.5959.乘务员燕姐,,我现在马上联系成周站的人，让他们想想办法。,I'll contact the people at the station and see if they can come up with something.,I'll contact the people at the station and see if they can come up with something.
SAY.chapterFlow06.5965.谢天,,穿过这片被淹的地方，才到得了市区。,We have to get through this flooded section to get to the city.,We have to get through this flooded section to get to the city.
SAY.chapterFlow06.5966.谢天,,方圆几公里全部是水，你怎么过去？,It's all flooded for a few kilometers， how are you getting over there?,It's all flooded for a few kilometers， how are you getting over there?
SAY.chapterFlow06.5967.谢天,,在车站就跟你说过了，没有办法的。,I told you at the station， there's no way.,I told you at the station， there's no way.
SAY.chapterFlow06.5968.谢天,,你又不信，非得要来。,You didn't believe me， and had to come.,You didn't believe me， and had to come.
SAY.chapterFlow06.5970.谢天,,回去吧。,Go back.,Go back.
SAY.chapterFlow06.5971.谢天,,说不定天亮水就退了。,Maybe the water will be gone by tomorrow morning.,Maybe the water will be gone by tomorrow morning.
SAY.chapterFlow06.5973.谢天,,走吗？你不走我走了。,Coming? I'm leaving， stay if you want.,Coming? I'm leaving， stay if you want.
SAY.chapterFlow06.5974.主角,,那是什么？,What's that?,What's that?
SAY.chapterFlow06.5978.谢天,,哪个？,What?,What?
SAY.chapterFlow06.5979.主角,,浮在水上那个。,That， floating on the water.,That， floating on the water.
SAY.chapterFlow06.5980.谢天,,哦，那个啊，澡盆。,Oh that? Bath tub.,Oh that? Bath tub.
SAY.chapterFlow06.5981.谢天,,发大水了，附近的小孩拿来玩的，当小船划。,It flooded so kids nearby brought it out to play with， they use it like a little row boat.,It flooded so kids nearby brought it out to play with， they use it like a little row boat.
SAY.chapterFlow06.5982.主角,,用什么划？桨在哪里？,What do they row with? Where's the oar?,What do they row with? Where's the oar?
SAY.chapterFlow06.5983.谢天,,你旁边那个，看见吗？那根竹竿。,Over there， see it? That long bamboo pole.,Over there， see it? That long bamboo pole.
SAY.chapterFlow06.5984.主角,,那明天我来还给他们。,I'll give it back to them tomorrow.,I'll give it back to them tomorrow.
SAY.chapterFlow06.5985.谢天,,……什么意思？,...What do you mean?,...What do you mean?
SAY.chapterFlow06.5986.谢天,,你要自己划过去？,You're going to row yourself over?,You're going to row yourself over?
SAY.chapterFlow06.5987.主角,,嗯。,Yeah.,Yeah.
SAY.chapterFlow06.5988.谢天,,……你说真的？,...For real?,...For real?
SAY.chapterFlow06.5989.主角,,医院在哪里？,Where's the hospital?,Where's the hospital?
SAY.chapterFlow06.5990.谢天,,……我怎么跟你说？,...Are you being serious?,...Are you being serious?
SAY.chapterFlow06.5991.主角,,那市区在哪里？,Which way to the city?,Which way to the city?
SAY.chapterFlow06.5992.谢天,,就在我们的正前方。,Straight ahead of us.,Straight ahead of us.
SAY.chapterFlow06.5993.主角,,医院那边是没被淹的？,The hospital hasn't been flooded?,The hospital hasn't been flooded?
SAY.chapterFlow06.5994.谢天,,新闻说没有。,The news didn't say it was.,The news didn't say it was.
SAY.chapterFlow06.5995.主角,,好。,Okay.,Okay.
SAY.chapterFlow06.5996.谢天,,……你决定了是吧？,...You've made up your mind huh?,...You've made up your mind huh?
SAY.chapterFlow06.5997.谢天,,……那我不管了。,...Not my problem anymore.,...Not my problem anymore.
SAY.chapterFlow06.5998.谢天,,你自己小心点。,You be careful.,You be careful.
SAY.chapterFlow06.6002.主角,,（为什么划了这么久，还没到？）,(Been rowing for a long time and we're still not there?),(Been rowing for a long time and we're still not there?)
SAY.chapterFlow06.6005.主角,,（市区到底在哪里？）,(Where is the city?),(Where is the city?)
SAY.chapterFlow06.6006.主角,,（是搞错方向了吗？）,(Did I go the wrong way?),(Did I go the wrong way?)
SAY.chapterFlow06.6007.主角,,（不知道。）,(Don't know.),(Don't know.)
SAY.chapterFlow06.6008.主角,,（我好像也在发烧，还有点鼻子塞。）,(I think I'm running a fever too， and a bit of a runny nose.),(I think I'm running a fever too， and a bit of a runny nose.)
SAY.chapterFlow06.6009.主角,,（是感冒了吗？原来是我传染地主妹的？）,(Did I catch a cold? Did I give it to my kid?),(Did I catch a cold? Did I give it to my kid?)
SAY.chapterFlow06.6451.主角,,（没有力气了。）,(No more energy.),(No more energy.)
SAY.chapterFlow06.6452.主角,,（这竹子也不好用。）,(This bamboo isn't really easy to use either.),(This bamboo isn't really easy to use either.)
SAY.chapterFlow06.6453.主角,,（我是不是，不应该冒这个险的？）,(Should I not have...taken this risk?),(Should I not have...taken this risk?)
SAY.chapterFlow06.6454.主角,,（不行。）,(No.),(No.)
SAY.chapterFlow06.6455.主角,,（没有时间考虑了。）,(I can't think on it anymore.),(I can't think on it anymore.)
SAY.chapterFlow06.6013.主角,,你还记得我们第一次带地主妹去广东看病吗？,Do you remember the first time we brought her to Guangdong for the doctor?,Do you remember the first time we brought her to Guangdong for the doctor?
SAY.chapterFlow06.6014.主角,,回来的时候坐的是长途客车，没有卧铺的。,When we came back we sat on long haul bus， no place to lie down.,When we came back we sat on long haul bus， no place to lie down.
SAY.chapterFlow06.6015.主角,,地主妹坐你旁边，伏在你腿上睡着了。,She sat next to you and fell asleep in your lap.,She sat next to you and fell asleep in your lap.
SAY.chapterFlow06.6344.主角,,你用你的裙子包着她，怕她着凉。,You used your skirt as a blanket for her， afraid she'd catch a cold.,You used your skirt as a blanket for her， afraid she'd catch a cold.
SAY.chapterFlow06.6017.主角,,第二次，我们是坐火车去的。,The second time， we took the train.,The second time， we took the train.
SAY.chapterFlow06.6018.主角,,那个岁数娃仔最吵啦。,Kids her age the were so noisy.,Kids her age the were so noisy.
SAY.chapterFlow06.6345.主角,,中途到站，地主妹大声问人家乘务员。,When we were on the way she'd ask the conductor loudly，,When we were on the way she'd ask the conductor loudly，
SAY.chapterFlow06.6346.主角,,“阿姨！为什么有些人在上车，,“Auntie! Why are some people getting on，,“Auntie! Why are some people getting on，
SAY.chapterFlow06.6347.主角,,有些人又在下车呀？”,and some people getting of?”,and some people getting of?”
SAY.chapterFlow06.6348.主角,,一个车厢的人都在笑，哈哈。,Everyone laughed， haha.,Everyone laughed， haha.
SAY.chapterFlow06.6020.主角,,我们想攒钱给她治病，不舍得住招待所。,We wanted to save money for her medical bills， and didn't want to stay in the guest house.,We wanted to save money for her medical bills， and didn't want to stay in the guest house.
SAY.chapterFlow06.6021.主角,,晚上就在车站的候车室睡地板。,So at night we'd sleep on the floor in the stations' waiting room.,So at night we'd sleep on the floor in the stations' waiting room.
SAY.chapterFlow06.6022.主角,,车站那帮工作人员嫌太寒碜，不想让我们睡。,The station people thought it looked bad，didn't want us to sleep.,The station people thought it looked bad，didn't want us to sleep.
SAY.chapterFlow06.6349.主角,,一整夜往地板上洒水，说是搞清洁。,So they spent all night spraing the floor with water， saying it was for cleaning.,So they spent all night spraing the floor with water， saying it was for cleaning.
SAY.chapterFlow06.6024.主角,,后来住了一次招待所，想起都怕。,Then we finally went to stay the guest house， I still get nightmares.,Then we finally went to stay the guest house， I still get nightmares.
SAY.chapterFlow06.6025.主角,,那些床铺上全是跳蚤，你都挨咬哭了。,Fleas and bedbugs everywhere， you got bit to the point where you cried.,Fleas and bedbugs everywhere， you got bit to the point where you cried.
SAY.chapterFlow06.6026.主角,,结果哭到一半又在笑。,Then halfway through crying， you started to laugh.,Then halfway through crying， you started to laugh.
SAY.chapterFlow06.6027.主角,,因为我挨咬完，过敏，嘴巴肿起来一块。,Because turns out I was allergic， my lips swelled up.,Because turns out I was allergic， my lips swelled up.
SAY.chapterFlow06.6028.主角,,你说我是尖嘴鸡，笑得停不下来。,You said I looked like a chicken， and couldn't stop laughing.,You said I looked like a chicken， and couldn't stop laughing.
SAY.chapterFlow06.6036.主角,,以前什么困难都不怕，多辛苦都无所谓。,Before， no matter how difficult things were I was never afraid， nor did it matter how hard things got.,Before， no matter how difficult things were I was never afraid， nor did it matter how hard things got.
SAY.chapterFlow06.6037.主角,,只要这个娃仔能开心，所有的东西都想给她。,As long as the kid's happen， I want to give her everything.,As long as the kid's happen， I want to give her everything.
SAY.chapterFlow06.6038.主角,,从来没有像现在这样，这么累。,But it's never been like this， so tiring.,But it's never been like this， so tiring.
SAY.chapterFlow06.6043.主角,,不是因为病了，也不是因为洪水。,Not because of the illness， or the flooding.,Not because of the illness， or the flooding.
SAY.chapterFlow06.6044.主角,,就算这是一片海，我游也能游过去。,Even if it's the ocean， I can swim across it.,Even if it's the ocean， I can swim across it.
SAY.chapterFlow06.6045.主角,,我是怕她上了手术台，就下不来了。,I'm afraid once she gets on the operating table， she won't make it off.,I'm afraid once she gets on the operating table， she won't make it off.
SAY.chapterFlow06.6046.主角,,如果最后都留不住她，往前走还有什么意义？,If I couldn't keep her in the end， what's the point of moving forward?,If I couldn't keep her in the end， what's the point of moving forward?
SAY.chapterFlow06.6052.主角,,你不会应我的，是咩？,You won't answer me， huh?,You won't answer me， huh?
SAY.chapterFlow06.6053.主角,,应该坚持，还是放弃，你都不会和我讲。,Should I stay strong， or give up， you won't tell me.,Should I stay strong， or give up， you won't tell me.
SAY.chapterFlow06.6054.主角,,你从来都是这样子。,You're always like this.,You're always like this.
SAY.chapterFlow06.6055.主角,,总是说，自己的事情，自己决定。,You always said， decide your own things.,You always said， decide your own things.
SAY.chapterFlow06.6061.主角,,你在那边怎么样，过得好咩？,How are things going there for you， are you doing okay?,How are things going there for you， are you doing okay?
SAY.chapterFlow06.6062.主角,,那边冷还是热？,Is it hot or cold?,Is it hot or cold?
SAY.chapterFlow06.6063.主角,,大风咩？衣服够穿咩？,Windy? Do you have enough clothes?,Windy? Do you have enough clothes?
SAY.chapterFlow06.6350.主角,,我又想起地主妹刚几个月大的时候。,I remember when she was a few months old.,I remember when she was a few months old.
SAY.chapterFlow06.6351.主角,,她个子长得快，穿不下之前的衣服。,She was growing so fast， couldn't fit the clothes from before.,She was growing so fast， couldn't fit the clothes from before.
SAY.chapterFlow06.6352.主角,,那时刚好是夏天，你就把那些衣服袖子剪了。,And it was summer， so you just cut off the sleeves.,And it was summer， so you just cut off the sleeves.
SAY.chapterFlow06.6353.主角,,长袖变短袖，宽窄刚好合适……,Long sleeves turned into short sleeves， the rest fit just fine.,Long sleeves turned into short sleeves， the rest fit just fine.
SAY.chapterFlow06.6065.主角,,吃的咧？你有没有好好吃饭？,What about food? Are you remembering to eat?,What about food? Are you remembering to eat?
SAY.chapterFlow06.6066.主角,,好久没吃过你煮的啤酒焖鱼了。,I haven't had your beer steamed fish in a while.,I haven't had your beer steamed fish in a while.
SAY.chapterFlow06.6354.主角,,别人都没你做的好吃。,No one makes it like you.,No one makes it like you.
SAY.chapterFlow06.6355.主角,,哦，我最近煮菜的水平提高了点。,Oh， lately I've gotten better at cooking.,Oh， lately I've gotten better at cooking.
SAY.chapterFlow06.6356.主角,,虽然还是跟你差很远，起码地主妹愿意吃……,Even though it's still very far from wher you were， at least she's willing to eat...,Even though it's still very far from wher you were， at least she's willing to eat...
SAY.chapterFlow06.6358.主角,,那边到底是哪样的咧？,How is it over there?,How is it over there?
SAY.chapterFlow06.6359.主角,,有太阳咩？有月亮咩？,Is there a sun? Moon?,Is there a sun? Moon?
SAY.chapterFlow06.6360.主角,,会不会像电视演那样，有彩虹？,Is it like movies， with rainbows?,Is it like movies， with rainbows?
SAY.chapterFlow06.6361.主角,,今年过年我又开车路过湖北。,I drove past Hubei again this year.,I drove past Hubei again this year.
SAY.chapterFlow06.6362.主角,,那里的雪真的很漂亮。,The snow there is really beautiful.,The snow there is really beautiful.
SAY.chapterFlow06.6363.主角,,连汉江边的田地，都是银色的。,Even Hanjiang's fields， are silver.,Even Hanjiang's fields， are silver.
SAY.chapterFlow06.6364.主角,,你还记得咩？,Do you remember?,Do you remember?
SAY.chapterFlow06.6365.主角,,那年大年三十晚我连夜出发，也是去的湖北。,The thirtieth of the first month of the new year， I also went to Hubei.,The thirtieth of the first month of the new year， I also went to Hubei.
SAY.chapterFlow06.6366.主角,,你偷偷在我车上放了两个鸡蛋，和一张纸条。,You put two eggs in the car， and a note.,You put two eggs in the car， and a note.
SAY.chapterFlow06.6367.主角,,纸条上面写着——,On the note you said-,On the note you said-
SAY.chapterFlow06.6368.主角,,“南哥，过年啦！”,“Dearest Nan， Happy new year!”,“Dearest Nan， Happy new year!”
SAY.chapterFlow06.6369.主角,,我真的想和你去看雪。,I really want to go see the snow with you.,I really want to go see the snow with you.
SAY.chapterFlow06.6370.主角,,去远一点，去黑龙江。,Go a bit further， to Heilongjiang.,Go a bit further， to Heilongjiang.
SAY.chapterFlow06.6371.主角,,地主妹也成天讲，她想堆雪人……,She talks aobut it everyday， she wants to build a snowman...,She talks aobut it everyday， she wants to build a snowman...
SAY.chapterFlow06.6373.主角,,你平时有点什么事做？有东西玩咩？,Do do you have things to do? Anything fun?,Do do you have things to do? Anything fun?
SAY.chapterFlow06.6374.主角,,会碰见你外公吗？你有朋友咩？,Have you seen your dad? friends?,Have you seen your dad? friends?
SAY.chapterFlow06.6375.主角,,不会只有你一个吧？,You're not alone， right?,You're not alone， right?
SAY.chapterFlow06.6376.主角,,地主妹最担心……,She's most worried...,She's most worried...
SAY.chapterFlow06.6379.主角,,……,......,......
SAY.chapterFlow06.6384.主角,,你回答我了，是咩？,You answered me， yeah?,You answered me， yeah?
SAY.chapterFlow06.6385.主角,,你不愿我留在这里了。,You don't want me to stay here.,You don't want me to stay here.
SAY.chapterFlow06.6386.主角,,讲再多，我们还是放心不下地主妹。,No matter how much we talk， we still worry about her.,No matter how much we talk， we still worry about her.
SAY.chapterFlow06.6388.主角,,也对。,Yeah.,Yeah.
SAY.chapterFlow06.6389.主角,,如果是以前，你肯定会讲：,If it was in the past， you'd definitely say:,If it was in the past， you'd definitely say:
SAY.chapterFlow06.6390.主角,,“记得你刚学车那时，师傅讲过什么咩？”,“Do you remember when you were learning how to drive， what your teacher taught you?”,“Do you remember when you were learning how to drive， what your teacher taught you?”
SAY.chapterFlow06.6391.主角,,我当然记得。,Of course I remember.,Of course I remember.
SAY.chapterFlow06.6392.主角,,开了车，答应了人家。,Once you take a job，,Once you take a job，
SAY.chapterFlow06.6393.主角,,就算路再难走，也一定要走到目的地。,No matter how hard it is， you have to deliver.,No matter how hard it is， you have to deliver.
SAY.chapterFlow06.6395.主角,,那好吧，我走了。,Alright， I'm heading out.,Alright， I'm heading out.
SAY.chapterFlow06.6397.主角,,你可以跟我回去咩？,Can you come back with me?,Can you come back with me?
SAY.chapterFlow06.6398.主角,,我好想你。,I really miss you.,I really miss you.
SAY.chapterFlow06.6399.主角,,每一刻都想你。,Every moment.,Every moment.
SAY.chapterFlow06.6401.主角,,我晓得。,I know.,I know.
SAY.chapterFlow06.6402.主角,,你到站了，我还没有。,You're at your stop， I'm not there yet.,You're at your stop， I'm not there yet.
SAY.chapterFlow06.6403.主角,,那你等等我吧。,Wait for me then.,Wait for me then.
SAY.chapterFlow06.6408.主角,,再见。,Goodbye.,Goodbye.
SAY.chapterFlow06.6071.旁白1,,妈妈……,Mom......,Mom......
SAY.chapterFlow06.6072.旁白1,,妈妈……,Mom......,Mom......
SAY.chapterFlow06.6074.主角,,地主妹。,Kid.,Kid.
SAY.chapterFlow06.6075.主角,,你感觉怎么样？,How are you feeling?,How are you feeling?
SAY.chapterFlow06.6076.主角,,地主妹！,Kid!,Kid!
SAY.chapterFlow06.6077.旁白1,,阿爸……,Daddy......,Daddy......
SAY.chapterFlow06.6078.主角,,……,......,......
SAY.chapterFlow06.6206.UI旁白1,,{wvo}今年端午游龙的情况大致就是这样{w=3},{wvo}That's about how the Dragon Boat Festival went.{w=3},{wvo}That's about how the Dragon Boat Festival went.{w=3}
SAY.chapterFlow06.6113.UI旁白1,,{wvo}第二名，对于我们芷滨{w=3},{wvo}To us， Zhibin， second place.{w=3},{wvo}To us， Zhibin， second place.{w=3}
SAY.chapterFlow06.6114.UI旁白1,,{wvo}可以说是一个非常了不起的成绩了{w=3},{wvo}Is an amazing feat.{w=3},{wvo}Is an amazing feat.{w=3}
SAY.chapterFlow06.6115.UI旁白1,,{wvo}从明年起{w=3},{wvo}Starting next year{w=3},{wvo}Starting next year{w=3}
SAY.chapterFlow06.6116.UI旁白1,,{wvo}各镇就不止派出一支队伍{w=3},{wvo}Every town can have more than one team.{w=3},{wvo}Every town can have more than one team.{w=3}
SAY.chapterFlow06.6117.UI旁白1,,{wvo}而是以村为单位参赛{w=3},{wvo}And everyone will compete with their own region{w=3},{wvo}And everyone will compete with their own region{w=3}
SAY.chapterFlow06.6118.UI旁白1,,{wvo}虽然队伍越来越多{w=3},{wvo}Even though there will be more and more teams.{w=3},{wvo}Even though there will be more and more teams.{w=3}
SAY.chapterFlow06.6119.UI旁白1,,{wvo}竞争越来越大{w=3},{wvo}Competition will be harder{w=3},{wvo}Competition will be harder{w=3}
SAY.chapterFlow06.6120.UI旁白1,,{wvo}阿爸和各位叔叔阿姨{w=3},{wvo}Dad and other Uncles and Aunties{w=3},{wvo}Dad and other Uncles and Aunties{w=3}
SAY.chapterFlow06.6124.UI旁白1,,{wvo}还是充满信心{w=3},{wvo}Are still full of confidence{w=3},{wvo}Are still full of confidence{w=3}
SAY.chapterFlow06.6125.UI旁白1,,{wvo}他们说，明年的目标是冠军{w=3},{wvo}Next year， champions， they say{w=3},{wvo}Next year， champions， they say{w=3}
SAY.chapterFlow06.6127.UI旁白1,,{wvo}当初是为了我们{w=3},{wvo}At first， it was for us{w=3},{wvo}At first， it was for us{w=3}
SAY.chapterFlow06.6128.UI旁白1,,{wvo}为了妈妈做的龙头{w=3},{wvo}For mom's Dragon Head{w=3},{wvo}For mom's Dragon Head{w=3}
SAY.chapterFlow06.6129.UI旁白1,,{wvo}叔叔阿姨们决定参加这支龙舟队{w=3},{wvo}Uncles and Aunties decided to join this team{w=3},{wvo}Uncles and Aunties decided to join this team{w=3}
SAY.chapterFlow06.6130.UI旁白1,,{wvo}这么多年过去了{w=3},{wvo}After so many years{w=3},{wvo}After so many years{w=3}
SAY.chapterFlow06.6131.UI旁白1,,{wvo}他们还在做着这件事{w=3},{wvo}They are still doing this{w=3},{wvo}They are still doing this{w=3}
SAY.chapterFlow06.6220.UI旁白1,,{wvo}似乎对每个人而言{w=3},{wvo}To everyone{w=3},{wvo}To everyone{w=3}
SAY.chapterFlow06.6221.UI旁白1,,{wvo}这个活动都有了自己的意义{w=3},{wvo}This event has meaning{w=3},{wvo}This event has meaning{w=3}
SAY.chapterFlow06.6223.UI旁白1,,{wvo}我很感激，也很庆幸{w=3},{wvo}I'm very grateful and lucky{w=3},{wvo}I'm very grateful and lucky{w=3}
SAY.chapterFlow06.6224.UI旁白1,,{wvo}所以，虽然没有贡献什么力量{w=3},{wvo}So， even though I didn't contribute much{w=3},{wvo}So， even though I didn't contribute much{w=3}
SAY.chapterFlow06.6225.UI旁白1,,{wvo}我也厚着脸皮过去合照了一张{w=3},{wvo}I also shamelessly joined into the picture{w=3},{wvo}I also shamelessly joined into the picture{w=3}
SAY.chapterFlow06.6132.UI旁白1,,{wvo}说起照片{w=3},{wvo}Speaking of pictures{w=3},{wvo}Speaking of pictures{w=3}
SAY.chapterFlow06.6133.UI旁白1,,{wvo}妈妈{w=3},{wvo}Mom{w=3},{wvo}Mom{w=3}
SAY.chapterFlow06.6134.UI旁白1,,{wvo}我最近有些伤感的情绪{w=3},{wvo}I've been feeling a bit sad{w=3},{wvo}I've been feeling a bit sad{w=3}
SAY.chapterFlow06.6135.UI旁白1,,{wvo}因为学校打印店便宜{w=3},{wvo}Because printing at school is cheap{w=3},{wvo}Because printing at school is cheap{w=3}
SAY.chapterFlow06.6137.UI旁白1,,{wvo}我把家里的老照片带到了学校{w=3},{wvo}I brought the old pictures to school{w=3},{wvo}I brought the old pictures to school{w=3}
SAY.chapterFlow06.6138.UI旁白1,,{wvo}一张张地扫描到电脑里{w=3},{wvo}And scanned each one into the computer{w=3},{wvo}And scanned each one into the computer{w=3}
SAY.chapterFlow06.6139.UI旁白1,,{wvo}然后上传到了网上{w=3},{wvo}And uploaded it online{w=3},{wvo}And uploaded it online{w=3}
SAY.chapterFlow06.6141.UI旁白1,,{wvo}看多了你们从前的样子{w=3},{wvo}Seeing how you all were{w=3},{wvo}Seeing how you all were{w=3}
SAY.chapterFlow06.6142.UI旁白1,,{wvo}我猛然意识到{w=3},{wvo}我I suddenly realized something{w=3},{wvo}我I suddenly realized something{w=3}
SAY.chapterFlow06.6143.UI旁白1,,{wvo}跟我小时候相比{w=3},{wvo}Compared to when I was a child{w=3},{wvo}Compared to when I was a child{w=3}
SAY.chapterFlow06.6144.UI旁白1,,{wvo}现在的阿公阿奶老了许多{w=3},{wvo}Grandma and Grandpa are much older{w=3},{wvo}Grandma and Grandpa are much older{w=3}
